year,era,event,source
2411,Cataclysm Era,The Translucid Pox wipes out 8% of MUD population before being contained on Valiant-I,species/human.md
2411,Cataclysm Era,"The Pearce Council is established on Amora-IV, becoming the bastion of MUD defenses",species/human.md
2411,Cataclysm Era,"Ponel.eldr (then a young captain) is designated to explore and establish a base in MRZ-15, renamed Anfoil",species/ustur.md
2416,Cataclysm Era,Vega becomes Sov Arei (supreme leader of all Sogmians),history/eras_of_star_atlas.md
2416,Cataclysm Era,"VZUS relocated to Foy Fields sector, bolstering it as an economic powerhouse",species/ustur.md
2417,Cataclysm Era,Pearce is born on Amora-IV,species/human.md
2419,Cataclysm Era,"Voices raise concern over Vega's policies - disregarding non-Sogmian allies, rumors of exploitation and even cannibalism of other sentient species",species/sogmian.md
2420,Cataclysm Era,A reporter from House Outro infiltrates Vega's stronghold and produces undeniable proof of honorless practices; other houses rise to depose Vega,species/sogmian.md
2420,Cataclysm Era,–2423: The Sogmian Vega Civil War erupts; House Akalma attempts a coup but is defeated in a bloody conflict; Vega killed; entire House Akalma banished to exile,species/sogmian.md
2421,Cataclysm Era,"During the Sogmian Vega Civil War, all Sogmian troops abandon Ki'Prah to fight - the prison world is left completely unguarded",factions/frenir_new_government.md
2423,Cataclysm Era,Vega makes his last stand in his citadel and is killed by coalition forces,factions/house_akalma.md
2423,Cataclysm Era,House Outro is rewarded with control of the Akalma Exile sector for their role in exposing Vega,species/sogmian.md
2424,Cataclysm Era,"The banished Sogmians from Akalma settle in a remote star sector, renaming it Akalma Exile",species/sogmian.md
2426,Cataclysm Era,Coral Nebula medicine becomes famous among Sogmians and Mierese,history/eras_of_star_atlas.md
2426,Cataclysm Era,"MUD expands into the Medium Zone - colonies: Mycenas-V, Xianyang-VI, Redam-VII, Pergamos-VIII, Abyd-IX",species/human.md
2426,Cataclysm Era,Armi.eldr becomes the Ustur faction leader,species/ustur.md
2430,Cataclysm Era,Chior.eldr sent to Azut sector to help create a new Ustur metropolis,species/ustur.md
2432,Cataclysm Era,Ustur explorers discover the Noctual Caverns - a vast underground biome within one of Summer Sea's planets,geography/sectors/summer_sea.md
2433,Cataclysm Era,"The Rule of 1000 is broken as settlers flock to the booming market. Populations swell beyond thresholds. Corals spread out of control again, requiring intensive work to contain",factions/coral_dwellers.md
2433,Cataclysm Era,Ustur explorers breach Ka-dara's outer defenses and make first formal contact with Ingbus,factions/ka_dara.md
2435,Cataclysm Era,ECOS destroys Old Grove's native civilization,history/eras_of_star_atlas.md
2435,Cataclysm Era,Ustur construct Francor Metropolis in Azut Sector,species/ustur.md
2439,Cataclysm Era,ECOS gets overwhelmed and flees to Hanging Gardens (MRZ-16),geography/sectors/old_grove.md
2439,Cataclysm Era,"ECOS terraforming spirals out of control - they flee to HRZ, founding Earth Prime",history/eras_of_star_atlas.md
2440,Cataclysm Era,The Birth of the Cataclysm - a rogue planet dense in ORE draws in 7 child planets to collide in a remote region; the collision creates free energy (Genesium) and births the 7 Titans,species/tufa.md
2440,Cataclysm Era,"Ashroot Grove founded - a penitent ECOS order establishes a watch-station on the Old Grove perimeter; Arch Druidess Venya takes the surname ""Sorrow""",
2440,Cataclysm Era,The Horror begins at Mycenas - an external threat (later revealed as Tufa-related) terrorizes the sector for decades,
2441,Cataclysm Era,Iris acquires a certain degree of self-awareness,species/tufa.md
2443,Cataclysm Era,"📋 *Proposed* - The 7 Titans awaken to full consciousness. Each Titan is a fragment of the 7 dwarf planets that collided to form the Cataclysm, exposed to Iris's nascent awareness. They perceive themselves as gods and begin establishing feudal control over the emerging Tufa ecosystem *(date inferred: after Iris awakening ~2441, before first non-aware Tufa ~2447)*",
2442,Cataclysm Era,Paizul born (future Sogmian Sov Arei),history/eras_of_star_atlas.md
2442,Cataclysm Era,"Ustur explorers survey MRZ-33 (Harkend) - at this time an unremarkable void; the artificial star system would later materialize at the close of the Convergence War, bearing constructs with startlin...",species/ustur.md
2445,Cataclysm Era,Bekalu born (future Sogmian Sov Arei),history/eras_of_star_atlas.md
2447,Cataclysm Era,First non-aware Tufa are born from Iris (no self-awareness),species/tufa.md
2450,Expansion Era,Vega Fall sector first settled by multi-species pioneers - becomes a rare example of sustained cross-faction cooperation,
2454,Expansion Era,"A group of nomadic Mierese traders starts recurrent gatherings in MRZ-26 to share goods, stories, and services - they create a small settlement called Free Harbors",geography/sectors/free_harbors.md
2454,Expansion Era,Vaor Scarka born,history/eras_of_star_atlas.md
2457,Expansion Era,"The first Tufa with awareness are born - Iris perceives them as ""Her Children""",species/tufa.md
2459,Expansion Era,"Production halts across most settlements - medicinal plants and goods stop growing on sector planets. The corals, overstimulated by excessive psychic energy, seem to enter a dormant or hostile state",factions/coral_dwellers.md
2460,Expansion Era,A conscious Tufa discovers the tribes of Oxir; the Cult of Iris begins among the Oxir people,species/oxir.md
2463,Expansion Era,"The Pavo Royal Family starts establishing relationships with both MUD and Ustur factions, using them to gain leverage and grow Pavo Passage's strength",geography/sectors/pavo_passage.md
2463,Expansion Era,"Ustur begin colonization despite harsh conditions, building the first underground colony named Foga-Rel deep within the Noctual Caverns",geography/sectors/summer_sea.md
2465,Expansion Era,"Small mining colonies begin forming on outer ring planets, where the verdant nightmare is still under control",geography/sectors/old_grove.md
2466,Expansion Era,Strange monoliths are first found in the Ilidae Sector,geography/sectors/ilidae.md
2470,Expansion Era,Panemorfa group formed - covert faction operating decades before the Denebula Utopia takes shape (~2495),factions/panemorfa.md
2471,Expansion Era,"Merchant Prince Ayevat, a High Punaab of extraordinary mercantile prowess, discovers an unclaimed sector and assembles a founding consortium:",factions/merchant_princes_of_denebula.md
2471,Expansion Era,Fimbul Industries formed in Free Harbors by MUDs unsatisfied with humanity's imperialistic expansion,geography/sectors/free_harbors.md
2471,Expansion Era,"After several expeditions, various branches of the semi-sentient species known as the Termiks are discovered across the sector's planets",geography/sectors/ilidae.md
2475,Expansion Era,"Due to its strategic location, traders and merchant princes from all of Galia Expanse flock to Free Harbors - its commercial and productive nature makes it politic-agnostic, thriving on productivit...",geography/sectors/free_harbors.md
2477,Expansion Era,ECOS reportedly communicates with a planetary entity for the first time,history/eras_of_star_atlas.md
2480,Expansion Era,Charon Gotti Jr. born - heir to the MUD leadership; will lead MUD during the current era and Book I conflict,
2481,Expansion Era,"The Scriptorium expands to cover half of the Lumikir homeworld - buildings, vaults, data towers, and organic memory-crystal gardens stretch from pole to pole",factions/scriptorium_of_the_lumikir.md
2481,Expansion Era,"Although under ONI geographic influence, Free Harbors becomes the first independent government in the MRZ",geography/sectors/free_harbors.md
2483,Expansion Era,The Weeping Nebula is discovered in MRZ-10 - the beautiful but deadly environmental phenomenon initially makes research in the sector impossible,geography/sectors/weeping_nebula.md
2486,Expansion Era,"The Relic Barons begin exploring Harkend, discovering artifacts from an old civilization which empower the sector's automatons",factions/relic_barons.md
2487,Expansion Era,Fimbul Engineers from Free Harbors discover the unique sector Everstorm in MRZ-25,geography/sectors/everstorm.md
2488,Expansion Era,"A group of MUD explorers investigating the ""ocean worlds"" breaches the atmosphere of a Bluvael planet and discovers the sector is under some form of illusion",factions/bluevael_mining_colonies.md
2489,Expansion Era,The Ustur discover the twin-star system of the Verbis Cluster,geography/sectors/verbis_cluster.md
2493,Expansion Era,"ECOS ratifies the Grove Doctrine - codifying ""nature above politics"" and authorizing the ECOS Fleet to intervene in ecological crises by force",
2493,Expansion Era,"Thornveil Grove established as ECOS's pharmaceutical and bioengineering grove - the ""Alchemist"" on the High Circle",
2495,Expansion Era,"Barrot, a Sogmian of House Xictus, enters a mysterious wormhole in MRZ-14. Returns within moments, visibly aged, bearing alien artifacts (""Barrot's Trinkets"")",factions/barrot_entertainment_company.md
2495,Expansion Era,–2517: Mass crossing attempts follow. Most who enter the gate flee in terror. Those who press deeper never return,factions/barrot_entertainment_company.md
2495,Expansion Era,"Colonization complete - the sector is renamed ""Denebula Utopia""",factions/merchant_princes_of_denebula.md
2495,Expansion Era,A strange portal opens in MRZ-14 - Barrot enters,geography/sectors/barrot_gateway.md
2495,Expansion Era,"Following Barrot's fame, many people attempt to cross the now-famous Barrot Gateway",geography/sectors/barrot_gateway.md
2495,Expansion Era,"Denebula Sector colonized under Merchant Prince Ayevat - the ""Kingdom of Finance"" begins",
2496,Expansion Era,Criminals from different species begin gathering in MRZ-32 - they take hold of the ancient decrepit space station and make it a refuge for criminals,geography/sectors/yuldun_waste.md
2498,Expansion Era,"The Jorvik ""Pirate King"" is born - a human/Mierese hybrid who will become the faction's most iconic leader",factions/jorvik.md
2498,Expansion Era,"Communion is formed as the first multi-species colony sector in Galia, composed of Punaabs, Miereses, Photoli, and Sogmians - setting the seeds for the formation of the ONI Faction",geography/sectors/communion.md
2498,Expansion Era,"Black Market groups begin hunting the Termiks to sell them as slaves - Termiks can be exploited as either pets, prizes, or slaves depending on the buyer",geography/sectors/ilidae.md
2499,Expansion Era,Tales of the riches found in the inner places of the galaxy start to spread - daring captains begin exploring the area known as the High-risk zone,geography/galactic_regions.md
2501,Expansion Era,The ECOS Fleet rains down over the groups attacking the Termiks,geography/sectors/ilidae.md
2501,Expansion Era,ECOS Fleet intervenes at Ilidae under Grove Doctrine to protect the Termiks from exploitation - Deepwell Grove's origin,
2503,Expansion Era,"Oxir tribes meet the galactic factions for the first time - they steer away from them, choosing isolation over engagement",species/oxir.md
2504,Expansion Era,"After many attempts, Fimbul engineers finally develop ionic shields capable of withstanding the tempest of Everstorm - the foundational breakthrough enabling permanent habitation",geography/sectors/everstorm.md
2507,Expansion Era,The colony has expanded to the point where the secret is impossible to maintain,factions/bluevael_mining_colonies.md
2507,Expansion Era,Factions start to create the first HRZ outposts - formalizing the exploration into permanent presence,geography/galactic_regions.md
2507,Expansion Era,The colony expands into minor settlements; the galaxy now knows there is an illusion over the sector of unknown origins - the Photoli authorship remains secret,geography/sectors/bluvael.md
2509,Expansion Era,"Fimbul creates the Sky Fortress - the first and largest Nimbus Sphere, a floating city sustained by Everstorm's tempest",factions/fimbul_industries.md
2510,Expansion Era,"Deep space explorer Gyun Oman discovers the Cataclysm - he scans the data and illegally sells it to all 3 rival factions (MUD, ONI, Ustur), each believing they are the sole recipients",geography/the_cataclysm.md
2510,Expansion Era,House Akalma expelled from ONI space after being falsely linked to Empress Paizul's assassination - Akalma Exile (MRZ-12) becomes a ghost sector,
2511,Expansion Era,"As tensions rise across Galia Expanse, Free Harbors decentralizes its governance - each port becomes a self-sovereign institution in its own territory, limited by the sector's democratic rules in f...",geography/sectors/free_harbors.md
2511,Expansion Era,The discovery of the Cataclysm and its unique resources renews Ingbus's hope - he begins funding expeditions to the Cataclysm in pursuit of materials for the resurrection project,geography/sectors/ka_dara.md
2511,Expansion Era,Merchant Prince Gel (Photoli co-founder of Denebula) dies under mysterious circumstances,
2512,Convergence War,"People start mysteriously dying across larger settlements. No cause is identified. Most of the population leaves, chasing riches elsewhere and in the Cataclysm",factions/coral_dwellers.md
2512,Convergence War,The Ustur formally discover the existence of the Janar,geography/sectors/verbis_cluster.md
2512,Convergence War,The Convergence War begins,history/eras_of_star_atlas.md
2512,Convergence War,War erupts across Galia Expanse,history/eras_of_star_atlas.md
2512,Convergence War,Ustur deserters under Eolus.tcher settle in an abandoned MRZ sector during the Convergence War - founding Garadar settlement,
2513,Convergence War,"–2522: During the Convergence War, ECOS rises from the power vacuum left by the destruction. ""ECOS did not exist as a major force yet - they rose in the post-war vacuum""",factions/ecos.md
2513,Convergence War,"Despite war, the Sky Fortress survives in peace shielded by storms. They export energy cells to Free Harbors",factions/fimbul_industries.md
2513,Convergence War,"As the Convergence War rages, the dreams grow more intense",geography/sectors/glowhaven.md
2513,Convergence War,An explorer from the HRZ sold Kamec's government a strange piece of technology,geography/sectors/kamec.md
2513,Convergence War,"During the Convergence War, the Pavo royal family consistently changes sides, causing the emergence of both MUD and Ustur resentment. Both factions begin supporting the Pavos' political adversaries...",geography/sectors/pavo_passage.md
2513,Convergence War,Ophek Revel begins trading HRZ information during the war,history/eras_of_star_atlas.md
2515,Convergence War,"During the Convergence War, Eknok - a notorious war criminal - crash-lands on planet Etira in the Yuldun Waste (MRZ-32)",factions/bmah.md
2515,Convergence War,Order of Seasons created - an assassin cult secretly revering the Iris aspect Dusk (Convergence War era),factions/order_of_seasons.md
2517,Convergence War,Barrot re-enters the gateway. He never returns. The portal becomes unapproachable,factions/barrot_entertainment_company.md
2517,Convergence War,Patrah (Sogmian) meets Eolus.tcher (Ustur),history/eras_of_star_atlas.md
2518,Convergence War,"Frostsun sends reinforcements to support the ONI faction in the HRZ war. After a successful early campaign, they managed to colonize the rich world of Gerio in the HRZ",geography/sectors/frostsun.md
2519,Convergence War,"Using the HRZ technology, Kamec developed perfect imitations of their citizens",geography/sectors/kamec.md
2521,Convergence War,The Pirate King starts his campaign for freedom in the HRZ - the Jorvik Pirates are formally formed,factions/jorvik.md
2521,Convergence War,"Ingbus discovers a unique resource in the Cataclysm which seems to be the key to resurrecting the Ka-raviam empire. Nevertheless, after the Convergence War the paths to the Cataclysm disappear, and...",geography/sectors/ka_dara.md
2521,Convergence War,Zagah (Sogmian exile) arrives at Garadar and begins organizing multi-species governance,
2522,Convergence War,"Free Harbors is flooded by refugees from the Convergence War. Unemployment, criminality, and civil unrest rise sharply - the sanctuary's ideals are tested by the galaxy's displaced masses",geography/sectors/free_harbors.md
2522,Convergence War,"-09: In one year and one month, the Order of Seasons fulfilled their contract - slaughtering all opposition party leaders in the sector",geography/sectors/pavo_passage.md
2522,Convergence War,"Iris conceals itself and the space known as the Cataclysm. No one is able to get inside or outside anymore - Iris actively sealed the region, cutting off all access",geography/the_cataclysm.md
2522,Convergence War,Sogmians complete Titan ship The Last Stand mk. VIII - forces peace talks,history/eras_of_star_atlas.md
2522,Convergence War,"MRZ breakaway - Redam, Mycenas, Xyianing, Pergamos, Abyd break from MUD",history/eras_of_star_atlas.md
2522,Convergence War,Lumikir Scriptorium raided - Convergence War records stolen/destroyed,history/eras_of_star_atlas.md
2522,Convergence War,"Ophek retires from information trading, begins building his casino",history/eras_of_star_atlas.md
2523,Convergence War,"Following the assassination of Sov Arei Paizul, House Akalma is framed as complicit - they are the most convenient scapegoat for Sogmian wrath",factions/house_akalma.md
2523,Convergence War,Eolus and the Garadar DAC discover a sector under the oppressive rule of the Pavo Royal Family,geography/sectors/eol_garadar.md
2523,Convergence War,"Bekalu devastates Akalma Exile sector (Akalma Reckoning) - against the wishes of House Outro, generating deep grief and resentment between House Xictus and House Outro",history/eras_of_star_atlas.md
2528,Golden Era,"📋 *Proposed* - Bekalu resigns the function of Sov Arei, pressed with guilt over the Akalma massacre *(date inferred: a few years after the Accord ~2523, before Golden Era stability)*",
2523,Convergence War,The Accord - Treaty of Peace signed. COP created. Star Atlas blockchain established. Golden Era begins,history/eras_of_star_atlas.md
2523,Convergence War,House Outro opens Vega Fall for refugees,history/eras_of_star_atlas.md
2523,Convergence War,Created during The Accord (post-Convergence War settlement),institutions/council_of_peace.md
2523,Convergence War,Anfoil State formally constituted under Ponel.eldr - Meritocratic Technate established post-Accord,factions/anfoil_state.md
2524,Golden Era,The Punaabs of Frostsun lose contact with their brethren in Gerio after the chaos that follows the factions' retreat from the HRZ in the aftermath of the Convergence War,geography/sectors/frostsun.md
2524,Golden Era,"With both MUD and Ustur exhausted from the Convergence War, neither can pressure Pavo any longer. The sector thrives in the power vacuum and begins spreading its influence across the Medium Risk Zone",geography/sectors/pavo_passage.md
2524,Golden Era,Redam - The five leaders' rules are formally installed and governance becomes stabilized in Redam sector,geography/sectors/redam.md
2524,Golden Era,Xyanyang Government formed as independent state after MRZ breakaway (~2522),factions/xyanyang_government.md
2525,Golden Era,"The COP formally charters the Galia Medical Union as a permanent civilian body, drawing its initial staff from wartime field medics who had already proven that cross-faction medicine was possible",factions/galia_medical_union.md
2525,Golden Era,"A Conscient (Awakened) Tufa stays behind after the Cataclysm is sealed, founding the Gate Garrison - a formidable collective whose mission is to ensure no one ever reaches Iris again. The Gate Garr...",species/tufa.md
2525,Golden Era,"Iris Academy founded by Chior.eldr, Professor Exfeheros, and leading academics at Zenith Door - neutral organization devoted to peace and galactic research",factions/iris_academy.md
2525,Golden Era,Nimrod Trackers DAC founded in Communion sector - monster hunters specializing in exotic fauna,factions/nimrod_trackers.md
2526,Golden Era,Free Harbors passes through a period of turbulence in their democracy - the different harbors fight for power and dominance. Other factions in Galia Expanse try to expand their influence in the sector,geography/sectors/free_harbors.md
2526,Golden Era,Starpath Warp-Gates construction begins; Cradle construction begins,history/eras_of_star_atlas.md
2526,Golden Era,Construction begins on the Cradle - the most powerful vessel ever built,institutions/council_of_peace.md
2526,Golden Era,Xianyang Enforcers created as military arm of Xyanyang Government,factions/xianyang_enforcers.md
2526,Golden Era,Denebula merchant prince Gelah expands trade routes to Safe Zone - caste system solidifies,
2527,Golden Era,ECOS membership in COP - blocked from major faction status by MUD lobby,history/eras_of_star_atlas.md
2527,Golden Era,COP expands operations - establishes peacekeeping protocols and MRZ patrol routes to prevent another Convergence War,
2530,Golden Era,"Gate Garrison formally organized - multi-species bounty-hunter organization led by an Awakened Tufa, operating from the HRZ",factions/gate_garrison.md
2530,Golden Era,First scav-crews form in the aftermath of the Convergence War - desperate MRZ drifters begin stripping abandoned warships and stations,
2530,Golden Era,GMU fully operational - medical fleet deployed across Safe Zone; trauma surgery and rehabilitation infrastructure built,
2530,Golden Era,Swamp Lords settle in the marshlands of Dream Reach - reclusive warlords who build fortress-habitats in hostile terrain,
2531,Golden Era,"Jorvik raiders begin moving into the Medium Risk Zone, expanding operations beyond the HRZ",factions/jorvik.md
2531,Golden Era,"After the war concluded and the COP treaty was ratified, peculiar time-based phenomena started occurring",geography/sectors/zavijava_zone.md
2532,Golden Era,Ustur Regency established in Pavo Passage; Winter Fist Path (Ustur martial sect) arrives with the Regency,factions/ustur_regency_pavo.md
2533,Golden Era,"When the slaver warlords formally seize Frenir, they find Ki'Prah abandoned and convert it into a forced labor camp - the worst of Frenir's horrors",factions/frenir_new_government.md
2533,Golden Era,The legitimate government of Frenir collapses entirely - the cause is documented in the sector file but involves cascading political and economic failure,factions/slavers_of_frenir.md
2533,Golden Era,"Due to the Ustur weakening during the Convergence War, poachers begin raiding the Verbis Cluster to capture or exploit the Janar",geography/sectors/verbis_cluster.md
2533,Golden Era,Good exotic plants reappear in Coral Nebula settlements respecting Rule of 1000,history/eras_of_star_atlas.md
2535,Golden Era,"Although Pertuam forces ultimately win against the poacher raids, the planet suffers critical infrastructure attacks",geography/sectors/verbis_cluster.md
2535,Golden Era,Lumikir Scriptorium creates a personal guard of war veterans,history/eras_of_star_atlas.md
2535,Golden Era,Scriptorium establishes the Whisper Conclave - an intelligence-gathering branch that trades in secrets and classified data,
2538,Golden Era,Abyd-IX civil war breaks out after MUD severance,history/eras_of_star_atlas.md
2538,Golden Era,Abyd-IX first provisional government formed during civil war,factions/abyd_government.md
2539,Golden Era,"Herdus.soul, disciple of Chior.eldr, helps his master discover and stabilize the wrecked Zenith Door sector. Together they found what becomes a beacon of learning and peace in the MRZ",factions/church_of_the_dreamer_below.md
2540,Golden Era,"s: Merchant Prince Buccharaano, a High Punaab from a minor merchant family in the ONI zone, visits the wormhole system during a trade run",factions/barrot_entertainment_company.md
2540,Golden Era,Patrah sets refugee aid efforts to Vega Fall with House Outro,history/eras_of_star_atlas.md
2542,Golden Era,"Pergamos formally begins alliances with major MRZ factions - becomes a major harbor for Jorvik, ECOS, and other outlaw groups",factions/jorvik.md
2542,Golden Era,A civil war erupts in MRZ-8 among competing local factions,factions/ophek.md
2542,Golden Era,Ophek seizes power in MRZ-8 through diplomatic play,history/eras_of_star_atlas.md
2542,Golden Era,ECOS groves become biggest food suppliers in Galia,history/eras_of_star_atlas.md
2542,Golden Era,Mycenas-V raided by alien pirates; Virel the Serene starts civil movement,history/eras_of_star_atlas.md
2543,Golden Era,Xianyang institutes mandatory public army service - every citizen participates in the Rite of Passage military training,
